"Niveau","Rang","Nom du rang","Titre du niveau","XP cumulée requise"
"1","1","Éveil","Première étincelle","0"
"2","1","Éveil","Premier pas","145"
"3","1","Éveil","Habitude naissante","305"
"4","1","Éveil","Le réveil","485"
"5","1","Éveil","Éveillé","685"
"6","2","Élan","Mise en mouvement","900"
"7","2","Élan","Premier souffle","1110"
"8","2","Élan","Cadence trouvée","1345"
"9","2","Élan","Lancé","1605"
"10","2","Élan","Plein élan","1890"
"11","3","Apprenti","Mains à l'ouvrage","2200"
"12","3","Apprenti","Le métier rentre","2490"
"13","3","Apprenti","Geste sûr","2815"
"14","3","Apprenti","Apprenti confirmé","3175"
"15","3","Apprenti","Prêt à durer","3570"
"16","4","Constant","Régularité installée","4000"
"17","4","Constant","Sans faille","4370"
"18","4","Constant","Ancré","4785"
"19","4","Constant","Tenace","5245"
"20","4","Constant","Constant accompli","5750"
"21","5","Aguerri","Premières épreuves","6300"
"22","5","Aguerri","Endurci","6750"
"23","5","Aguerri","Le souffle long","7255"
"24","5","Aguerri","Rompu à l'effort","7815"
"25","5","Aguerri","Aguerri","8430"
"26","6","Affirmé","Voix qui porte","9100"
"27","6","Affirmé","Présence","9630"
"28","6","Affirmé","Sûr de son cap","10225"
"29","6","Affirmé","Affirmé","10885"
"30","6","Affirmé","Pleinement soi","11610"
"31","7","Artisan","L'œuvre commence","12400"
"32","7","Artisan","Main de maître","12975"
"33","7","Artisan","Style propre","13625"
"34","7","Artisan","Artisan reconnu","14345"
"35","7","Artisan","Signature","15135"
"36","8","Maître","Au sommet du métier","16000"
"37","8","Maître","Maîtrise calme","16610"
"38","8","Maître","Le geste juste","17295"
"39","8","Maître","Maître accompli","18055"
"40","8","Maître","Au-delà du doute","18890"
"41","9","Mentor","On vient te voir","19800"
"42","9","Mentor","Tu transmets","20310"
"43","9","Mentor","Exemple vivant","20885"
"44","9","Mentor","Guide","21525"
"45","9","Mentor","Mentor","22230"
"46","10","Légende","Trace durable","23000"
"47","10","Légende","Au-dessus du temps","23480"
"48","10","Légende","Inébranlable","24020"
"49","10","Légende","Presque légende","24620"
"50","10","Légende","Légende","25280"
