Date,Visiteurs,Ventes,Revenus bruts (€),Dépense pub (€),Remboursements (nb),Remboursé (€),Taux de conversion,Panier moyen (€),CAC (€),Taux de remboursement,Revenus nets (€)
2026-07-01 (exemple),120,3,105,0,0,0,"=IF(B2=0,0,C2/B2)","=IF(C2=0,0,D2/C2)","=IF(C2=0,0,E2/C2)","=IF(C2=0,0,F2/C2)",=D2-G2-E2
,,,,,,,"=IF(B3=0,0,C3/B3)","=IF(C3=0,0,D3/C3)","=IF(C3=0,0,E3/C3)","=IF(C3=0,0,F3/C3)",=D3-G3-E3
,,,,,,,"=IF(B4=0,0,C4/B4)","=IF(C4=0,0,D4/C4)","=IF(C4=0,0,E4/C4)","=IF(C4=0,0,F4/C4)",=D4-G4-E4
,,,,,,,"=IF(B5=0,0,C5/B5)","=IF(C5=0,0,D5/C5)","=IF(C5=0,0,E5/C5)","=IF(C5=0,0,F5/C5)",=D5-G5-E5
,,,,,,,"=IF(B6=0,0,C6/B6)","=IF(C6=0,0,D6/C6)","=IF(C6=0,0,E6/C6)","=IF(C6=0,0,F6/C6)",=D6-G6-E6
,,,,,,,"=IF(B7=0,0,C7/B7)","=IF(C7=0,0,D7/C7)","=IF(C7=0,0,E7/C7)","=IF(C7=0,0,F7/C7)",=D7-G7-E7
,,,,,,,"=IF(B8=0,0,C8/B8)","=IF(C8=0,0,D8/C8)","=IF(C8=0,0,E8/C8)","=IF(C8=0,0,F8/C8)",=D8-G8-E8
,,,,,,,"=IF(B9=0,0,C9/B9)","=IF(C9=0,0,D9/C9)","=IF(C9=0,0,E9/C9)","=IF(C9=0,0,F9/C9)",=D9-G9-E9
,,,,,,,"=IF(B10=0,0,C10/B10)","=IF(C10=0,0,D10/C10)","=IF(C10=0,0,E10/C10)","=IF(C10=0,0,F10/C10)",=D10-G10-E10
,,,,,,,"=IF(B11=0,0,C11/B11)","=IF(C11=0,0,D11/C11)","=IF(C11=0,0,E11/C11)","=IF(C11=0,0,F11/C11)",=D11-G11-E11
,,,,,,,"=IF(B12=0,0,C12/B12)","=IF(C12=0,0,D12/C12)","=IF(C12=0,0,E12/C12)","=IF(C12=0,0,F12/C12)",=D12-G12-E12
,,,,,,,"=IF(B13=0,0,C13/B13)","=IF(C13=0,0,D13/C13)","=IF(C13=0,0,E13/C13)","=IF(C13=0,0,F13/C13)",=D13-G13-E13
,,,,,,,"=IF(B14=0,0,C14/B14)","=IF(C14=0,0,D14/C14)","=IF(C14=0,0,E14/C14)","=IF(C14=0,0,F14/C14)",=D14-G14-E14
,,,,,,,"=IF(B15=0,0,C15/B15)","=IF(C15=0,0,D15/C15)","=IF(C15=0,0,E15/C15)","=IF(C15=0,0,F15/C15)",=D15-G15-E15
TOTAL,=SUM(B2:B15),=SUM(C2:C15),=SUM(D2:D15),=SUM(E2:E15),=SUM(F2:F15),=SUM(G2:G15),"=IF(B16=0,0,C16/B16)","=IF(C16=0,0,D16/C16)","=IF(C16=0,0,E16/C16)","=IF(C16=0,0,F16/C16)",=SUM(L2:L15)
