"Type","Nom","Objectif","Récompense","Périodicité","État"
"Quotidienne","Défi du jour","Valider le défi du jour","XP du défi (difficulté×10) + progression série","Chaque jour","À faire"
"Hebdomadaire","Cap Courage","Valider 3 défis de la stat Courage","+50 XP","Chaque semaine","À faire"
"Hebdomadaire","Équilibre 8/8","Toucher les 8 stats en 7 jours","+40 XP (bonus Équilibre)","Chaque semaine","À faire"
"Hebdomadaire","Semaine pleine","Valider 7 jours sur 7","+50 XP + badge Premier feu (1re fois)","Chaque semaine","À faire"
"Hebdomadaire","Hors zone","Valider 3 défis de difficulté ≥7","+60 XP","Chaque semaine","À faire"
"Mensuelle","Arc du mois 1 — Petites victoires","Compléter les défis du mois 1 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 2 — Confiance","Compléter les défis du mois 2 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 3 — Discipline","Compléter les défis du mois 3 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 4 — Relations","Compléter les défis du mois 4 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 5 — Santé","Compléter les défis du mois 5 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 6 — Productivité","Compléter les défis du mois 6 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 7 — Finances","Compléter les défis du mois 7 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 8 — Nouvelles expériences","Compléter les défis du mois 8 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 9 — Compétences","Compléter les défis du mois 9 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 10 — Leadership","Compléter les défis du mois 10 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 11 — Résilience","Compléter les défis du mois 11 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Mensuelle","Arc du mois 12 — Transformation globale","Compléter les défis du mois 12 et réussir le défi-BOSS de fin de mois","+150 XP + progression Tueur de BOSS","Chaque mois","À faire"
"Secrète","Noctambule","Valider 10 défis après minuit (caché)","+100 XP · badge Noctambule","Cachée","À faire"
"Secrète","Polyvalent","Valider un défi dans les 8 stats en une journée (caché)","+300 XP · badge Polyvalent secret","Cachée","À faire"
