"Rang","Nom","Niveaux","XP borne (début)","Titre porté","Récompense symbolique"
"1","Éveil","1-5","0","l'Éveillé·e","Emblème Étincelle · radar débloqué"
"2","Élan","6-10","900","—","Emblème Souffle · thème personnalisable"
"3","Apprenti","11-15","2200","—","Emblème Marteau · cadre bronze"
"4","Constant","16-20","4000","le·la Constant·e","Emblème Ancre"
"5","Aguerri","21-25","6300","—","Emblème Bouclier · cadre argent"
"6","Affirmé","26-30","9100","l'Affirmé·e","Emblème Flamme haute"
"7","Artisan","31-35","12400","—","Emblème Atelier · thème Artisan"
"8","Maître","36-40","16000","—","Emblème Couronne · cadre or"
"9","Mentor","41-45","19800","le·la Mentor·e","Emblème Lanterne · partage avancé"
"10","Légende","46-50","23000","Légende","Emblème Astre animé · Carte de l'Année"
